"id","data_venda","cliente","vendedor","produto","categoria","fornecedor","quantidade","valor_venda","valor_custo"
50,"2016-10-03","José Fernandes","CARLOS SENRA","XTG SOUND","CELULARES","GFORCE",2,"320.00","190.00"
51,"2016-12-21","Yasmin Barros","MARCELO WITEMBERG","C# PRATICO","LIVROS","MICROSOFT",4,"60.00","45.00"
52,"2017-02-27","Paulo Carvalho","FABIO AUGUSTO","TV LED 50 SONY","TV E AUDIO","SONY",3,"3200.00","2465.00"
53,"2017-06-14","Brenda Oliveira","EDUARDO SANTOS","DRAGON BLAZER","GAMES","BRAZUCA JOGOS",3,"90.00","40.00"
54,"2017-04-12","Alex Alves","RODRIGO BIO","RIO DE JANEIRO / RECIFE","PASSAGENS","LINHAS LATINAS DE AVIÃ•ES",4,"560.00","500.00"
55,"2017-03-09","Guilherme Fernandes","RODRIGO BIO","CAVALEIRO DAS TREVAS","GAMES","BILLZAR GAMES",1,"110.00","50.00"
56,"2016-12-18","Vitor Azevedo","CELIA TAVARES","FANTASY STAR","GAMES","JOGAR GAMES",4,"89.00","30.00"
57,"2015-03-07","Gustavo Silva","ANTONIO JESUS","MOTO G5","CELULARES","MOTOROLA",3,"679.00","465.00"
58,"2017-03-06","Kaua Sousa","TERESA CRISTINA","MICROONDAS BRASTEMP","ELETRODOMESTICOS","BRASTEMP",4,"600.00","412.00"
59,"2015-02-25","Isabelle Souza","GERALDO FRANCISCO","TV LED 60 SAMSUNG","TV E AUDIO","SAMSUNG",3,"3800.00","3000.00"
60,"2015-07-18","Tiago Barros","CELIA TAVARES","LEITOR DE CARTOES MULTILASER","INFORMATICA","MULTILASER",5,"24.00","11.00"
61,"2015-03-08","Julia Goncalves","RENE CHIARI","FANTASY STAR","GAMES","JOGAR GAMES",2,"89.00","30.00"
62,"2017-06-01","Leonardo Martins","CLARA MAFRA","NOKIA ASHA 501","CELULARES","NOKIA",4,"600.00","320.00"
63,"2017-11-27","Kaua Rocha","LILIAN SALINAS","FABULA","GAMES","BRAZUCA JOGOS",5,"120.00","100.00"
64,"2015-12-15","Thaís Azevedo","TERESA CRISTINA","NOTEBOOK SONY 3D","INFORMATICA","SONY",1,"2500.00","2000.00"
65,"2017-11-16","Larissa Cavalcanti","LILIAN SALINAS","SONY I5","INFORMATICA","SONY",3,"1800.00","800.00"
66,"2017-01-20","Julia Pinto","CELIA TAVARES","PENDRIVE 64 ML","INFORMATICA","MULTILASER",2,"85.00","40.00"
67,"2015-11-19","Samuel Pinto","ANTONIO JESUS","DESKTOP P5 PH","INFORMATICA","PHILIPS",4,"1400.00","980.00"
5557,"2015-06-10","Paulo Dias","PEDRO NUNES","SONY W200","CELULARES","SONY",1,"1100.00","900.00"
68,"2015-06-07","Douglas Rocha","RENATA MONTEIRO","ROTEADOR WIRELESS","INFORMATICA","MULTILASER",4,"90.00","38.00"
69,"2017-03-08","Kauan Alves","HERMES MACEDO","ADVANCED AZURE","LIVROS","MICROSOFT",4,"70.00","55.00"
70,"2017-04-10","Evelyn Barros","PILAR SANCHES","TV LED 60 SONY","TV E AUDIO","SONY",2,"3900.00","3051.00"
71,"2016-11-17","Júlio Carvalho","JOAO NUNES","PLAYSTATION 4","GAMES","SONY",2,"1980.00","990.00"
72,"2017-06-25","Giovana Sousa","RODRIGO BIO","JUICER ARNO","ELETRODOMESTICOS","ARNO",4,"450.00","367.00"
73,"2017-02-19","Luis Dias","SERGIO AGUDO","TV LED 42 SONY","TV E AUDIO","SONY",3,"2000.00","1420.00"
74,"2015-03-26","Tiago Ferreira","RENE CHIARI","DESKTOP A5 HP","INFORMATICA","HP",4,"1300.00","700.00"
75,"2017-07-25","Matheus Barros","GERALDO FRANCISCO","LEITOR DE CARTOES MULTILASER","INFORMATICA","MULTILASER",3,"24.00","11.00"
76,"2015-12-24","Daniel Correia","LILIAN SALINAS","NOTEBOOK ACER 15","INFORMATICA","ACER",4,"1500.00","800.00"
77,"2016-08-10","Paulo Goncalves","RENATA MONTEIRO","JUST DANCE","GAMES","BILLZAR GAMES",1,"99.00","34.00"
78,"2017-07-21","Ryan Barros","EDUARDO SANTOS","TITANS","GAMES","BRAZUCA JOGOS",5,"98.00","50.00"
79,"2015-06-16","Evelyn Souza","RENE CHIARI","LIQUIDIFICADOR WALLITA","ELETRODOMESTICOS","WALLITA",1,"90.00","75.00"
80,"2017-08-23","Otávio Pereira","SILVIO BAHIANA","RIO DE JANEIRO / NEW YORK","PASSAGENS","AMERICA LINES EXPRESS",1,"2600.00","2354.00"
81,"2016-03-13","Antônio Melo","CELIA TAVARES","NOTEBOOK LN 15","INFORMATICA","LENOVO",5,"1500.00","800.00"
82,"2016-12-14","Bianca Ribeiro","RODRIGO BIO","ROTEADOR WIRELESS","INFORMATICA","MULTILASER",1,"90.00","38.00"
83,"2017-06-21","Luiz Fernandes","DEBORA ALMEIDA","HOME THEATER PANASONIC","TV E AUDIO","PANASONIC",2,"245.00","150.00"
84,"2016-12-01","Carolina Cardoso","RODRIGO MARQUES","PHONE 5","CELULARES","APPLE",3,"2500.00","1900.00"
85,"2015-04-12","Bruno Melo","MARCELO WITEMBERG","CARREGADOR TURBO CELULAR","CELULARES","MOTOROLA",3,"99.00","55.00"
86,"2017-03-10","Kauã Cardoso","FABIO AUGUSTO","SMART TV PANASONIC 46","TV E AUDIO","PANASONIC",4,"3099.00","2500.00"
87,"2017-04-12","Luiz Costa","LILIAN SALINAS","MOCHILA NOTEBOOK 14 POL","INFORMATICA","GENIUS",2,"89.00","61.00"
88,"2016-10-27","Felipe Martins","RODRIGO MARQUES","NOTEBOOK LN 15","INFORMATICA","LENOVO",3,"1500.00","800.00"
89,"2017-11-14","Emilly Souza","MARCELO WITEMBERG","CARTOON MOVIE","GAMES","BILLZAR GAMES",2,"99.00","34.00"
90,"2017-06-25","Gabriel Gomes","CARLOS SENRA","DREAMC QUARTY","CELULARES","DREAMC",1,"180.00","98.00"
91,"2016-11-10","Lavinia Rodrigues","SILVIO BAHIANA","PENDRIVE 128 CROSSAIR","INFORMATICA","PHILIPS",1,"137.00","98.00"
92,"2016-04-03","Caio Correia","RENE CHIARI","ROTEADOR WIRELESS","INFORMATICA","MULTILASER",2,"90.00","38.00"
93,"2017-11-10","Rebeca Ferreira","CLARA MAFRA","DESKTOP P5 ML","INFORMATICA","MULTILASER",3,"1400.00","950.00"
94,"2017-01-24","André Alves","PEDRO NUNES","RACK TV MOGNO","MOVEIS","BRASIL MADEIRAS",3,"1500.00","1087.00"
95,"2017-08-04","Beatriz Fernandes","RAFAELA LIMA","LAVA LOUCAS CCE","ELETRODOMESTICOS","CCE",2,"3600.00","2745.00"
96,"2016-09-26","Vitor Correia","PEDRO NUNES","FAMILIA PARATTO","DVDS","EM SPORTS",3,"134.00","100.00"
97,"2015-08-22","Luiz Martins","RENATA MONTEIRO","PLAYSTATION 3","GAMES","SONY",3,"980.00","590.00"
98,"2016-07-05","Vitoria Carvalho","MARCELO WITEMBERG","HD 2T SAMSUNG","INFORMATICA","SAMSUNG",2,"550.00","200.00"
99,"2015-09-27","Renan Oliveira","RENE CHIARI","LAVA LOUCAS BRASTEMP","ELETRODOMESTICOS","BRASTEMP",2,"3500.00","2945.00"
100,"2017-04-01","Miguel Ferreira","RENATA MONTEIRO","NOKIA QUARTY","CELULARES","NOKIA",1,"300.00","190.00"
101,"2015-12-04","Luís Araujo","PEDRO NUNES","O SENHOR DO CRIME","LIVROS","EDITORA AMAZONIA",4,"199.00","120.00"
102,"2016-03-10","Vitoria Melo","MARCELO WITEMBERG","SAMSUNG XY 3","CELULARES","SAMSUNG",1,"800.00","498.00"
103,"2017-12-20","Guilherme Almeida","RAFAELA LIMA","MOTO Z PLAY 3","CELULARES","MOTOROLA",2,"1150.00","900.00"
104,"2016-04-11","Douglas Barros","GERALDO FRANCISCO","DESKTOP A5 HP","INFORMATICA","HP",2,"1300.00","890.00"
105,"2016-11-24","Evelyn Souza","JOAO NUNES","RIO DE JANEIRO / MADRID","PASSAGENS","LINHAS INTERNACIONAIS EURO",1,"1800.00","1623.00"
106,"2015-06-12","Victor Rodrigues","DAVID BORGES","CARTAO SD 128 GB SANDISK","INFORMATICA","SANDISK",1,"156.00","99.00"
107,"2017-10-01","Gustavo Goncalves","SILVIO BAHIANA","SMART TV PANASONIC 52","TV E AUDIO","PANASONIC",2,"4200.00","3800.00"
108,"2016-09-23","Eduardo Cunha","RAFAELA LIMA","PLAYSTATION 3","GAMES","SONY",1,"980.00","590.00"
109,"2015-02-15","Kaua Fernandes","CARLOS SENRA","SAO PAULO / LONDRINA","PASSAGENS","LINHAS BRASIL EXPRESS",3,"310.00","280.00"
110,"2017-07-24","Matheus Ferreira","MARCELO WITEMBERG","PENDRIVE 64","INFORMATICA","PHILIPS",1,"80.00","45.00"
111,"2017-02-10","Luís Barros","JOAO NUNES","JUICER CCE","ELETRODOMESTICOS","CCE",1,"430.00","347.00"
112,"2015-04-23","Isabela Azevedo","WALLACE MOREIRA","MOCHILA NOTEBOOK 17 POL","INFORMATICA","GENIUS",2,"139.00","91.00"
113,"2016-09-06","Arthur Cavalcanti","JOAO NUNES","MICROONDAS BRASTEMP","ELETRODOMESTICOS","BRASTEMP",4,"600.00","412.00"
114,"2016-07-23","Kaua Sousa","PEDRO NUNES","FANTASY STAR","GAMES","JOGAR GAMES",2,"89.00","30.00"
115,"2015-03-24","Letícia Barbosa","EDUARDO SANTOS","LAVADORA GANCA 10L","ELETRODOMESTICOS","GANCA",3,"5400.00","5020.00"
116,"2016-10-12","Rafael Fernandes","CARLOS SENRA","IPAD 64","INFORMATICA","APPLE",2,"2500.00","1700.00"
117,"2016-09-22","Gabrielle Almeida","SILVIO BAHIANA","CARTAO SD 128 GB SANDISK","INFORMATICA","SANDISK",3,"156.00","99.00"
118,"2015-05-25","Gabriela Cunha","GERALDO FRANCISCO","TV 3D PHILIPS 42","TV E AUDIO","SONY",3,"3800.00","3201.00"
119,"2015-09-07","Antônio Melo","MARCELO WITEMBERG","RIO DE JANEIRO / CAMPINAS","PASSAGENS","LINHAS LATINAS DE AVIÃ•ES",2,"250.00","210.00"
120,"2016-08-21","Raissa Costa","JOAO NUNES","GRAVITACIONAL","DVDS","STUDIOS CALIFORNIA",3,"78.00","37.00"
121,"2016-05-15","Beatriz Correia","EDUARDO SANTOS","AS CRÔNICAS DE ANDROMEDA","LIVROS","EDITORA MUNDO FANTASIA",1,"69.00","30.00"
122,"2017-09-03","Beatrice Dias","MARCELO WITEMBERG","LIQUIDIFICADOR ARNO","ELETRODOMESTICOS","WALLITA",2,"87.00","72.00"
123,"2016-02-04","Luiza Oliveira","CLARA MAFRA","NOTEBOOK HP INOVE","INFORMATICA","HP",3,"3300.00","2700.00"
124,"2015-02-04","Julieta Rodrigues","RENE CHIARI","CONJUNTO DE SOFA","MOVEIS","BRASIL MADEIRAS",3,"3500.00","2954.00"
125,"2017-02-21","Arthur Martins","TERESA CRISTINA","DESKTOP A5 HP","INFORMATICA","HP",2,"1300.00","890.00"
126,"2016-12-20","Tomás Almeida","CARLOS SENRA","CARTAO SD 32 GB SANDISK","INFORMATICA","SANDISK",1,"32.00","15.00"
127,"2015-07-11","Arthur Santos","RENATA MONTEIRO","NOKIA 549","CELULARES","NOKIA",2,"450.00","300.00"
128,"2015-03-09","Samuel Araujo","SERGIO AGUDO","MEMORIA DDR 3 32GB","INFORMATICA","VISION",4,"350.00","203.00"
129,"2015-07-02","Miguel Ribeiro","CLARA MAFRA","NOTEBOOK HP C-34","INFORMATICA","HP",1,"2300.00","1890.00"
130,"2017-05-20","Alice Ribeiro","PILAR SANCHES","JOGOS VORAZES","LIVROS","EDITORA LELIVROS",4,"45.00","22.00"
131,"2017-11-05","Luís Araujo","RAFAELA LIMA","GLADIADORES","DVDS","EM SPORTS",4,"145.00","90.00"
132,"2015-09-23","Kauê Souza","EDUARDO SANTOS","SAO PAULO / BUENOS AIRES","PASSAGENS","LINHAS LATINAS DE AVIÃ•ES",4,"1090.00","1000.00"
133,"2015-06-17","Leonor Cunha","PILAR SANCHES","LAVA LOUCAS BRASTEMP","ELETRODOMESTICOS","BRASTEMP",2,"3500.00","2945.00"
134,"2016-11-03","Matilde Barbosa","TERESA CRISTINA","MEMORIA DDR 3 4GB","INFORMATICA","VISION",1,"80.00","45.00"
135,"2016-03-25","Victor Souza","SILVIO BAHIANA","RIO DE JANEIRO / LONDRINA","PASSAGENS","LINHAS LATINAS DE AVIÃ•ES",5,"430.00","390.00"
136,"2017-11-27","Lavinia Cavalcanti","RODRIGO BIO","GALAXY NOTE","INFORMATICA","SAMSUNG",2,"2900.00","1542.00"
137,"2016-10-11","Bruna Cavalcanti","ANTONIO JESUS","DESKTOP P5 ML","INFORMATICA","MULTILASER",4,"1400.00","950.00"
138,"2015-09-03","Tiago Melo","SILVIO BAHIANA","CENTRIFUGA ARNO","ELETRODOMESTICOS","ARNO",2,"2800.00","2030.00"
139,"2016-06-06","Tânia Pinto","ANTONIO JESUS","SAO PAULO / MADRID","PASSAGENS","LINHAS INTERNACIONAIS EURO",3,"2700.00","2350.00"
140,"2015-10-15","Melissa Azevedo","LILIAN SALINAS","A CULPA É DAS ESTRELAS","LIVROS","EDITORA LELIVROS",2,"24.00","12.00"
141,"2017-09-07","Sophia Correia","ANTONIO JESUS","O SUPER-HERÓI","DVDS","STUDIOS HB",4,"45.00","20.00"
142,"2015-05-19","Fernanda Pinto","CLARA MAFRA","DESKTOP A5 HP","INFORMATICA","HP",3,"1300.00","890.00"
143,"2017-09-15","Amanda Ferreira","LILIAN SALINAS","HD 3T","INFORMATICA","MULTILASER",2,"760.00","390.00"
144,"2017-03-26","Bruna Castro","MARCELO WITEMBERG","MAFIA","GAMES","BRAZUCA JOGOS",2,"120.00","55.00"
145,"2017-12-24","Luiza Rocha","RENATA MONTEIRO","TV LED 32 LG","TV E AUDIO","LG",2,"1100.00","850.00"
146,"2015-01-03","Amanda Cavalcanti","SERGIO AGUDO","JUICER WALLITA","ELETRODOMESTICOS","WALLITA",3,"450.00","367.00"
147,"2015-08-15","Kauã Rodrigues","SILVIO BAHIANA","UM CASO PERDIDO","LIVROS","EDITORA LELIVROS",4,"56.00","20.00"
148,"2015-09-01","Júlia Fernandes","RODRIGO BIO","TV LED 32 SONY","TV E AUDIO","SONY",3,"1000.00","750.00"
149,"2017-08-08","Lucas Gomes","RENE CHIARI","FREEZER 300L BRASTEMP","ELETRODOMESTICOS","BRASTEMP",3,"1800.00","986.00"
150,"2016-05-18","Rebeca Carvalho","JOAO NUNES","PENDRIVE 128 CROSSAIR","INFORMATICA","PHILIPS",4,"137.00","98.00"
151,"2017-03-01","Beatrice Alves","HERMES MACEDO","MESA DE CENTRO","MOVEIS","MOVEIS VAREJÃƒO",4,"500.00","350.00"
152,"2016-12-27","Arthur Lima","PILAR SANCHES","NOTEBOOK MSFT 17","INFORMATICA","MICROSOFT",4,"3100.00","2700.00"
153,"2016-11-11","Matilde Barbosa","RENE CHIARI","IPOD NANO 32","INFORMATICA","APPLE",5,"450.00","320.00"
154,"2017-09-07","Tomás Melo","RENATA MONTEIRO","CARREGADOR TURBO CELULAR","CELULARES","MOTOROLA",2,"99.00","55.00"
155,"2017-02-12","Martim Barbosa","PEDRO NUNES","SAO PAULO / CURITIBA","PASSAGENS","LINHAS BRASIL EXPRESS",4,"300.00","260.00"
156,"2017-03-05","Luan Oliveira","MARCELO WITEMBERG","JACKSON","DVDS","STUDIOS HB",4,"34.00","18.00"
157,"2017-05-16","Bianca Cunha","RENE CHIARI","TV LED 60 SONY","TV E AUDIO","SONY",1,"3900.00","3051.00"
158,"2016-11-10","José Carvalho","PEDRO NUNES","LEITOR DE CARTOES","INFORMATICA","VISION",2,"34.00","10.00"
159,"2017-06-23","Rodrigo Barbosa","PILAR SANCHES","XTG RAD D1","CELULARES","GFORCE",3,"800.00","567.00"
160,"2016-03-07","Isabela Goncalves","CLARA MAFRA","SONY I7","INFORMATICA","SONY",5,"2500.00","1300.00"
161,"2015-09-18","Beatriz Sousa","RODRIGO BIO","NOKIA ASHA 501","CELULARES","NOKIA",4,"600.00","320.00"
162,"2015-11-23","Ana Alves","DEBORA ALMEIDA","MESA JANTAR 6 LUGARES","MOVEIS","BRASIL MADEIRAS",1,"2500.00","1900.00"
163,"2016-11-24","Júlia Azevedo","DEBORA ALMEIDA","IPAD 64","INFORMATICA","APPLE",4,"2500.00","1700.00"
164,"2016-01-12","Antônio Goncalves","DEBORA ALMEIDA","TV LED 42 SONY","TV E AUDIO","SONY",5,"2000.00","1420.00"
165,"2015-10-24","Estevan Lima","MARCELO WITEMBERG","HD 2T","INFORMATICA","MULTILASER",3,"650.00","300.00"
166,"2015-04-11","Isabelle Barbosa","SERGIO AGUDO","CASOAS ANTIGOS","DVDS","EM SPORTS",3,"37.00","20.00"
167,"2015-03-19","Leonardo Rodrigues","CELIA TAVARES","IPAD MINI 16","INFORMATICA","APPLE",2,"1200.00","790.00"
168,"2016-08-10","Vinícius Oliveira","TERESA CRISTINA","FABULA","GAMES","BRAZUCA JOGOS",2,"120.00","100.00"
169,"2016-02-14","Livia Santos","SERGIO AGUDO","DESKTOP A5 ML","INFORMATICA","MULTILASER",4,"1300.00","890.00"
170,"2015-11-07","Mariana Almeida","FABIO AUGUSTO","GALAXY TAB 10","INFORMATICA","SAMSUNG",5,"2300.00","750.00"
171,"2017-07-11","Rafael Fernandes","DEBORA ALMEIDA","PLAYSTATION 4","GAMES","SONY",2,"1980.00","990.00"
172,"2016-10-01","Emily Rodrigues","SILVIO BAHIANA","SMART TV PANASONIC 46","TV E AUDIO","PANASONIC",2,"3099.00","2500.00"
173,"2016-02-09","Isabelle Cunha","MARCELO WITEMBERG","COMBO TECLADO E MOUSE","INFORMATICA","MICROSOFT",3,"310.00","120.00"
174,"2016-08-24","Kauan Sousa","EDUARDO SANTOS","HD 3T SAMSUNG","INFORMATICA","SAMSUNG",4,"700.00","300.00"
175,"2015-03-03","Martim Barros","LILIAN SALINAS","COMBO TECLADO E MOUSE","INFORMATICA","MICROSOFT",3,"310.00","120.00"
176,"2015-07-17","Julian Castro","MARCELO WITEMBERG","SMART TV PHILIPS 46","TV E AUDIO","PHILIPS",1,"3199.00","2500.00"
177,"2017-10-20","Daniel Correia","PEDRO NUNES","JOGOS MALÉFICOS","DVDS","STUDIOS CALIFORNIA",4,"38.00","23.00"
178,"2016-02-18","Amanda Cavalcanti","ANTONIO JESUS","MENTES CRIMINOSAS","DVDS","STUDIOS CALIFORNIA",2,"210.00","130.00"
179,"2017-05-09","Tânia Pinto","RODRIGO BIO","RIO DE JANEIRO / NEW YORK","PASSAGENS","AMERICA LINES EXPRESS",4,"2600.00","2354.00"
180,"2017-11-22","Kauã Cardoso","RENATA MONTEIRO","FREEZER 300L BRASTEMP","ELETRODOMESTICOS","BRASTEMP",2,"1800.00","986.00"
181,"2015-11-20","Douglas Cavalcanti","RAFAELA LIMA","MP4 32 GB SONY","INFORMATICA","SONY",4,"240.00","120.00"
182,"2016-01-06","Luiz Costa","RODRIGO BIO","PENDRIVE 16","INFORMATICA","PHILIPS",3,"30.00","10.00"
183,"2015-04-03","Enzo Dias","CARLOS SENRA","TV 3D SONY 42","TV E AUDIO","SONY",4,"3100.00","2684.00"
184,"2017-04-07","Nicolash Cunha","RENE CHIARI","PC DUAL CORE","INFORMATICA","PHILIPS",4,"1350.00","890.00"
185,"2015-07-24","Rafael Barbosa","FABIO AUGUSTO","DESKTOP A5 HP","INFORMATICA","HP",1,"1300.00","700.00"
186,"2016-07-02","Martim Correia","SERGIO AGUDO","ROTEADOR 18 PORTAS","INFORMATICA","MULTILASER",2,"300.00","110.00"
187,"2016-09-23","Tânia Santos","SERGIO AGUDO","SAMSUNG XY 4","CELULARES","SAMSUNG",5,"1200.00","965.00"
188,"2017-01-15","Daniel Correia","CARLOS SENRA","RIO DE JANEIRO / LONDRINA","PASSAGENS","LINHAS LATINAS DE AVIÃ•ES",3,"430.00","390.00"
189,"2015-08-13","Breno Correia","PEDRO NUNES","TV LED 50 LG","TV E AUDIO","LG",4,"3100.00","2900.00"
190,"2017-02-17","Carlos Rodrigues","LILIAN SALINAS","MICROONDAS BRASTEMP","ELETRODOMESTICOS","BRASTEMP",5,"600.00","412.00"
191,"2017-03-14","Fernanda Pinto","TERESA CRISTINA","SAMSUNG E1203","CELULARES","SAMSUNG",2,"560.00","385.00"
192,"2017-10-09","Murilo Sousa","RODRIGO MARQUES","NOTEBOOK SONY AWS","INFORMATICA","SONY",1,"2750.00","2400.00"
193,"2017-01-21","Nicolash Goncalves","RAFAELA LIMA","HUB SWITCH 6 PORTAS","INFORMATICA","ACER",3,"79.00","60.00"
